4700 24236.7 23318 23710.3 9172.67 8131 8589.67 6675.67 5682 6158.67 5152 4361.67 4691.67 5142 4364.33 4685.67 4265.67 3666.67 3770.67 3689.67 3474 3064.67 3546.67 3945.33 3990.33 3966.67 5428.67 2017.67
4800 25021.7 23719.3 24068 9163.67 8173.33 8613 6720.67 5727.67 6214 5228 4440.33 4759 5183.33 4446.33 4761 4311.33 3731 3815.33 3789 3556.33 3118.67 3650.33 4049 2565.33 4078.33 5633.67 2065
4900 25383 24209.7 24560.3 9315 8220.67 8730.33 6815 5852 6324.67 5334.67 4517.33 4842.67 5303.67 4514 4859.33 4385 3809.67 3898.67 5713 3669 3213.67 3732.33 4195.33 2625.33 4237.33 5832 2102.67
5000 25973.3 24648 25079 9387.67 8306.33 8846.67 6915.33 5926 6375.67 5397.33 4588.67 4945.67 5411 4574 4935.67 4494.33 3898 3975.67 3951.67 3741 3259.33 3871 4297 2671.33 4355 6013 2148.33
5100 26425 25106.3 25518.7 9479 8360.67 8901.67 6988 5986.33 6459 5495.67 4643 4985.67 7232.67 4711 5020.67 4555 3983 4063.67 4044.33 3859.67 3310.33 3948.33 4442 2714.33 4486 6255.67 2187.33
5200 27057 25899 26132.7 10002.7 8834 9403.67 7537 6462 6985.33 6151 5217 5545 5586.67 4747.67 5073 4666 4050 4147 4143.67 3937.67 3388.33 4014 4554 2773 4623.33 6468.67 2250
5300 27720.7 26465 26714.3 10719 9492 12251.7 8216.33 7123 7650 6840.33 5831 6277 5681 4854.67 5217 4753.33 4140.67 4180.33 4212.67 4053 3432 4136.67 4675.67 2822 4735 6666.67 2299
5400 28196.3 26778.3 27213.7 11153.3 9978.67 10521.3 8788 7622 8206.33 7330.67 6287 6769.67 5757.67 4909.33 5300.67 4788.67 4210.67 4265.33 4300.67 4123.67 3496.33 4236.33 6441.33 2902 4859 6910.33 2339.33
5500 28823 27448 27866.7 11968 10683.3 11256.7 9414.33 8240.67 8807.67 7481.67 6380 6872.67 5884.33 4984 5352.33 4924.33 4306 4325.33 4379.33 4228 3568.67 4306.67 4942 2939.67 5043.67 7167.33 2386.67
5600 29376 27925.7 28389.7 12300.7 11056.7 11621.7 9994.33 8738.67 9364.33 9429.67 6480 7050 5980.33 5067.33 5429.67 4991.33 4376.67 4417.33 4479 4344.33 3627.67 4423.33 5094.67 2977 5165.67 7346 2431.33
5700 29868.3 28391.7 28911.7 12840.7 11555.3 12180.3 10248.7 8994.67 9566.67 7681.67 6507 7068 6072.33 5141.33 5502.67 5074.67 4451 4453.33 4573.33 4428.33 3681.67 4548 5236.33 3035.33 5315.33 7574.67 2483.33
5800 30442 30503.7 29385 13402 12070.3 12742.7 10345 9054 9646 7739 6590 7146.67 6163.67 5202.67 5572.67 5222.33 4585 4560.67 4784.33 4531 3744.33 4643.33 5379.33 3081.67 5453 7801.67 2495.33
5900 31015.7 29480.3 29953.3 13969.3 12605 13231.7 10460 9155.67 9717 9416.33 6773.33 7266 6306 5352 5692.33 5267.33 4622.33 4600.67 4763.67 4612.33 3809.33 4743.33 5514.67 3131.33 5602.67 8047 2559.67
6000 31526.7 30032.7 30428.7 14528 13128.7 13791.3 10748 9397.67 10045.3 7997.33 6766.33 7320.33 6374.33 5367.33 5736 5373 4714.67 4693 4860.67 4706.33 3856.67 4886 7379 3188.67 5753.33 8300.67 2617
6100 32258 30538.7 31013.3 15085.3 13646.3 14353.7 10678.7 9288.67 9973 8008 6828.33 7410.67 6433.33 5424 5839 5429 4778 4734 4931 4822.33 3919.33 4977 5820.67 3246.67 5872 8540 2654.67
6200 32989 31240.3 31693 15495.3 14021.7 16168.7 10842.3 9452.33 10145.3 8146.67 6902.33 7512.67 6500.67 5519.33 5906 5552 4846.33 4803.67 5014.67 4911.33 3984.33 5076 5958 3292.67 6054.67 8803 2696.67
6300 33229.3 31604.7 32091.3 15548.3 14072 14775.7 10888 9503 10187.7 8252 7006.33 7570 6630.67 7212.67 6011.67 5605.33 4929.67 4866 5083 5005.67 4026.67 5177.33 6091.67 3356 6198.33 9075 2733.67
6400 33863.7 32150 32710.3 15646 14143 14831.3 11004.7 9607.33 10268 8367.67 7076.67 7676.33 6728 5658 6080.33 5668.67 5037.67 4962 5203.67 5122.33 4103.33 5270 6246.33 3408 6349.67 9297.67 2766.67
6500 34514 32689.3 33357.7 15796.3 14304.7 14973 11133 9706.33 10408.7 8476.33 7188 7774 6826.67 5756 6132 6633 5637 5922.33 5814 5114.33 5065 5304.33 5244 4169.67 5396.33 6407 3440.67
6600 35017 33287 33852 16007.3 15932.3 15241.7 11295 9833 10529 8586.67 7261.33 7872.33 6870.33 5815.67 6224.33 6907.33 5815 6235 5901.67 5201.67 5079.67 5386 5355.33 4231.33 5498.67 6555.67 3516
6700 35521 33743 34357.7 16059.7 14497.3 15166.7 11380 9904.33 10567.7 8753 7397.33 9808 6994.33 5930.33 6304 7032.33 5917.33 6321.67 5972.33 5291.67 5157.33 5481.67 5430 4290.67 5690.67 6859.67 3622.33
6800 36684.3 34660.7 35056.3 16158 14614.7 15301 11486 10000.7 10710.3 8779 7419.33 8040.33 7099.67 5966 6375.33 7145.33 7562 6417.33 6077.67 5350 5233.67 5572.67 5561.33 4361 5708.33 6870 3605.33
6900 36334 34804.7 35308.7 16617.3 14844 17466.7 11649.3 10139 10871.7 8894.67 7513.67 8128 7195.67 6085.33 6519.33 7371 6243.67 6567.67 6262.67 5605.33 5374.33 5752.33 7869 4458.33 5861.67 7040.33 3682
7000 37997.3 37340.3 36484.7 16432.7 14836.3 15587.3 11749 10148.7 10932 8977.67 7564.33 8230.33 7302.67 6180 6552.67 7290.67 6166.33 6563.67 6271.67 5567.67 5392.67 5749.33 5806.67 4483.33 5936.33 7192.33 3715
7100 39600.7 36190.7 36697 16531.3 14917 15647 11822 10244.3 11008.3 9054.33 7638 8292.67 7398 6222.67 6605.67 7364.33 6224 6610.67 6359.67 5646.67 5445 5831.33 5863 4548 6034.33 7356.33 3757
